"ciudad","hora","descripcion","fecha","humedad","latitud","lluvia_1h","lluvia_probable","longitud","nubes","pais","presion","sensacion_termica","temperatura","viento"
"Brasília","00:39:16","clear sky","2025-05-09","90","'-15.7797","0","false","'-47.9297","0","BR","1017","18.34","18.12","1.65"
"Brasília","00:51:29","clear sky","2025-05-09","90","'-15.7797","0","false","'-47.9297","0","BR","1017","18.34","18.12","1.65"
"Brasília","22:22:19","overcast clouds","2025-05-14","89","'-15.7797","0","true","'-47.9297","100","BR","1018","17.09","17.01","3.13"
"Brasília","22:30:11","overcast clouds","2025-05-14","90","'-15.7797","0","true","'-47.9297","97","BR","1018","17.12","17.01","2.84"
"Brasília","22:36:26","overcast clouds","2025-05-14","90","'-15.7797","0","true","'-47.9297","97","BR","1018","17.12","17.01","2.84"
"Brasília","22:43:37","overcast clouds","2025-05-14","90","'-15.7797","0","true","'-47.9297","97","BR","1018","17.12","17.01","2.84"
"Brasília","22:45:43","overcast clouds","2025-05-14","90","'-15.7797","0","true","'-47.9297","97","BR","1018","16.51","16.46","2.84"
"Brasília","22:49:38","light rain","2025-05-14","90","'-15.7797","0.13","true","'-47.9297","97","BR","1018","16.51","16.46","2.84"
"Brasília","22:52:38","light rain","2025-05-14","90","'-15.7797","0.15","true","'-47.9297","97","BR","1018","16.51","16.46","2.84"
"Brasília","23:02:41","overcast clouds","2025-05-14","90","'-15.7797","0","true","'-47.9297","97","BR","1018","16.51","16.46","2.84"
"Brasília","23:10:58","overcast clouds","2025-05-14","90","'-15.7797","0","true","'-47.9297","97","BR","1018","16.51","16.46","2.84"
"Brasília","23:14:12","overcast clouds","2025-05-14","90","'-15.7797","0","true","'-47.9297","97","BR","1018","16.51","16.46","2.84"
"New York","00:35:18","overcast clouds","2025-05-09","81","40.7143","0","true","'-74.006","100","US","1015","17.75","17.8","9.39"
"New York","00:55:50","overcast clouds","2025-05-09","81","40.7143","0","true","'-74.006","100","US","1015","17.52","17.59","9.39"
"New York","22:19:03","overcast clouds","2025-05-14","93","40.7143","0","true","'-74.006","100","US","1014","16.72","16.58","8.05"
"New York","22:22:05","overcast clouds","2025-05-14","93","40.7143","0","true","'-74.006","100","US","1014","16.77","16.62","8.05"
"New York","22:32:19","overcast clouds","2025-05-14","93","40.7143","0","true","'-74.006","100","US","1015","16.72","16.58","8.05"
"New York","22:34:22","overcast clouds","2025-05-14","93","40.7143","0","true","'-74.006","100","US","1015","16.78","16.63","8.05"
"New York","22:43:54","overcast clouds","2025-05-14","94","40.7143","0","true","'-74.006","100","US","1015","16.65","16.49","6.71"
"New York","22:49:33","overcast clouds","2025-05-14","94","40.7143","0","true","'-74.006","100","US","1015","16.65","16.49","7.6"
"New York","22:54:18","overcast clouds","2025-05-14","94","40.7143","0","true","'-74.006","100","US","1015","16.57","16.42","8.05"
"New York","22:59:39","overcast clouds","2025-05-14","94","40.7143","0","true","'-74.006","100","US","1015","16.56","16.41","7.15"
"New York","23:02:58","light rain","2025-05-14","94","40.7143","0.39","true","'-74.006","100","US","1014","16.4","16.26","7.15"
"New York","23:04:29","light rain","2025-05-14","94","40.7143","0.52","true","'-74.006","100","US","1014","16.4","16.26","7.15"
"New York","23:14:48","overcast clouds","2025-05-14","94","40.7143","0","true","'-74.006","100","US","1014","16.41","16.27","8.49"
"Buenos Aires","00:44:50","overcast clouds","2025-05-09","88","'-34.6132","0","true","'-58.3772","87","AR","1010","17.66","17.55","4.92"
"Buenos Aires","00:56:02","overcast clouds","2025-05-09","89","'-34.6132","0","true","'-58.3772","87","AR","1010","17.44","17.33","4.92"
"Buenos Aires","22:21:34","overcast clouds","2025-05-14","68","'-34.6132","0","true","'-58.3772","100","AR","1017","21.53","21.54","4.92"
"Buenos Aires","22:25:15","overcast clouds","2025-05-14","80","'-34.6132","0","true","'-58.3772","100","AR","1017","21.65","21.37","4.92"
"Buenos Aires","22:26:41","overcast clouds","2025-05-14","67","'-34.6132","0","true","'-58.3772","100","AR","1017","21.5","21.54","4.92"
"Buenos Aires","22:35:34","overcast clouds","2025-05-14","80","'-34.6132","0","true","'-58.3772","100","AR","1018","21.54","21.27","4.92"
"Buenos Aires","22:40:41","overcast clouds","2025-05-14","68","'-34.6132","0","true","'-58.3772","100","AR","1018","21.45","21.47","4.92"
"Buenos Aires","22:42:02","overcast clouds","2025-05-14","68","'-34.6132","0","true","'-58.3772","100","AR","1018","21.45","21.47","4.92"
"Buenos Aires","22:45:49","overcast clouds","2025-05-14","67","'-34.6132","0","true","'-58.3772","100","AR","1018","21.42","21.47","4.92"
"Buenos Aires","22:50:46","overcast clouds","2025-05-14","79","'-34.6132","0","true","'-58.3772","100","AR","1018","21.35","21.12","4.92"
"Buenos Aires","22:53:34","overcast clouds","2025-05-14","79","'-34.6132","0","true","'-58.3772","100","AR","1018","21.35","21.12","4.92"
"Buenos Aires","23:02:51","overcast clouds","2025-05-14","66","'-34.6132","0","true","'-58.3772","100","AR","1018","20.76","20.89","4.92"
"Buenos Aires","23:03:46","overcast clouds","2025-05-14","66","'-34.6132","0","true","'-58.3772","100","AR","1018","20.76","20.89","4.92"
"Buenos Aires","23:07:53","overcast clouds","2025-05-14","66","'-34.6132","0","true","'-58.3772","100","AR","1018","20.66","20.8","4.92"
"Buenos Aires","23:13:56","overcast clouds","2025-05-14","66","'-34.6132","0","true","'-58.3772","100","AR","1018","20.66","20.8","4.92"
"Moscow","00:34:55","broken clouds","2025-05-09","55","55.7522","0","true","37.6156","65","RU","1013","2.16","3.86","1.89"
"Moscow","00:57:07","overcast clouds","2025-05-09","55","55.7522","0","true","37.6156","100","RU","1013","2.41","3.86","1.68"
"Moscow","22:17:07","broken clouds","2025-05-14","67","55.7522","0","true","37.6156","62","RU","1005","5.14","6.86","2.45"
"Moscow","22:22:07","broken clouds","2025-05-14","67","55.7522","0","true","37.6156","62","RU","1005","5.14","6.86","2.45"
"Moscow","22:27:07","broken clouds","2025-05-14","67","55.7522","0","true","37.6156","62","RU","1005","5.14","6.86","2.45"
"Moscow","22:28:57","broken clouds","2025-05-14","67","55.7522","0","true","37.6156","62","RU","1005","5.14","6.86","2.45"
"Moscow","22:38:57","broken clouds","2025-05-14","68","55.7522","0","true","37.6156","53","RU","1005","5.17","6.86","2.42"
"Moscow","22:43:57","broken clouds","2025-05-14","68","55.7522","0","true","37.6156","53","RU","1005","5.17","6.86","2.42"
"Moscow","22:48:58","broken clouds","2025-05-14","68","55.7522","0","true","37.6156","53","RU","1005","5.17","6.86","2.42"
"Moscow","22:52:08","broken clouds","2025-05-14","68","55.7522","0","true","37.6156","53","RU","1005","4.51","6.3","2.42"
"Moscow","22:53:58","broken clouds","2025-05-14","68","55.7522","0","true","37.6156","53","RU","1005","4.51","6.3","2.42"
"Moscow","23:02:08","broken clouds","2025-05-14","68","55.7522","0","true","37.6156","53","RU","1005","4.51","6.3","2.42"
"Moscow","23:08:59","broken clouds","2025-05-14","68","55.7522","0","true","37.6156","53","RU","1005","4.51","6.3","2.42"
"Moscow","23:17:09","broken clouds","2025-05-14","68","55.7522","0","true","37.6156","53","RU","1005","4.51","6.3","2.42"
"Dubai","00:44:04","clear sky","2025-05-09","61","25.2582","0","false","55.3047","0","AE","1006","25.1","24.96","3.09"
"Dubai","00:56:23","clear sky","2025-05-09","61","25.2582","0","false","55.3047","0","AE","1006","25.1","24.96","3.09"
"Dubai","22:24:46","clear sky","2025-05-14","45","25.2582","0","false","55.3047","0","AE","1006","30.7","30.29","3.22"
"Dubai","22:27:53","clear sky","2025-05-14","45","25.2582","0","false","55.3047","0","AE","1006","30.7","30.29","3.22"
"Dubai","22:35:20","clear sky","2025-05-14","47","25.2582","0","false","55.3047","0","AE","1006","30.39","29.85","2.5"
"Dubai","22:45:41","clear sky","2025-05-14","47","25.2582","0","false","55.3047","0","AE","1006","30.39","29.85","2.5"
"Dubai","22:47:43","clear sky","2025-05-14","47","25.2582","0","false","55.3047","0","AE","1006","30.39","29.85","2.5"
"Dubai","22:51:04","clear sky","2025-05-14","47","25.2582","0","false","55.3047","0","AE","1006","30.39","29.85","2.5"
"Dubai","22:55:59","clear sky","2025-05-14","47","25.2582","0","false","55.3047","0","AE","1006","30.39","29.85","2.5"
"Dubai","23:08:32","clear sky","2025-05-14","47","25.2582","0","false","55.3047","0","AE","1006","30.39","29.85","2.5"
"Dubai","23:09:02","clear sky","2025-05-14","47","25.2582","0","false","55.3047","0","AE","1006","30.39","29.85","2.5"
"Dubai","23:14:29","clear sky","2025-05-14","47","25.2582","0","false","55.3047","0","AE","1006","30.39","29.85","2.5"
"Chicago","00:44:08","clear sky","2025-05-09","66","41.85","0","false","'-87.65","0","US","1022","7.65","8.51","1.79"
"Chicago","00:50:06","clear sky","2025-05-09","67","41.85","0","false","'-87.65","0","US","1022","6.16","8.11","3.13"
"Chicago","22:19:12","broken clouds","2025-05-14","77","41.85","0","true","'-87.65","52","US","1005","22.04","21.79","1.79"
"Chicago","22:21:44","broken clouds","2025-05-14","77","41.85","0","true","'-87.65","52","US","1005","22.04","21.79","1.79"
"Chicago","22:29:02","broken clouds","2025-05-14","78","41.85","0","true","'-87.65","52","US","1005","22.01","21.74","2.68"
